Code ue;Matiere;Semestre;ParcoursID;ue ID
MTH1320;Séries et intégrations multiple et généralisée;3;1074;259
MTH1321;Mathématiques pour l’Ingénieur : Probabilités et Statistiques;3;1074;260
MTH1322;Algèbre tensorielle;3;1074;261
PHY1320;Physique pour l'ingénieur : Loi de la thermodynamique;3;1074;262
PHY1321;Physique pour l'ingénieur : Optique;3;1074;263
SEG1320;Economie et comptabilité;3;1074;264
ANG1420;Anglais de spécialité : Approche thématique des textes, compréhension orale et écrite;4;1074;265
DRT1420;Droit: droit du travail et droit de l'informatique;4;1074;266
INF1428;Architecture et fonctionnement des réseaux Informatiques;4;1074;267
INF1429;Analyse et conception MERISE;4;1074;268
MTH1420;Calcul différentiel dans Rn;4;1074;269
MTH1421;Statistiques inférentielles (décisionnelles);4;1074;270
MTH1422;Analyse numérique et Pratique;4;1074;271
MTH1423;Théorie des graphes;4;1074;272
ANG1520;Anglais;5;1074;273
GEI1520;Introduction aux technologies de fabrication avancées;5;1074;274
GEI1521;Qualité niveau I;5;1074;275
GES1520;Gestion des stocks niveau I;5;1074;276
GES1521;Gestion de production niveau I;5;1074;277
INF1520;Initiation aux Systèmes d’Information;5;1074;278
INF1521;Base de données;5;1074;279
INF1525;Projet tutoré;5;1074;280
MTH1520;Recherche opérationnelle;5;1074;281
MTH1524;Modélisation statistique;5;1074;282
ANG1620;Anglais;6;1074;283
GEI1620;Qualité niveau II;6;1074;284
GES1620;Gestion des stocks niveau II;6;1074;285
GES1621;Gestion de production niveau II;6;1074;286
GES1623;Logistique de transport et de distribution;6;1074;287
INF1630;Stage;6;1074;288
CHM107;Chimie appliquée;1;1093;289
CHM113;Chimie par la Pratique;1;1093;290
GEM100;Dessin Technique I;1;1093;291
GEM110;Géométrie Descriptive de base;1;1093;292
INF100;Système d'exploitation et introduction à la programmation;1;1093;293
MTH100;Bases mathématiques;1;1093;294
MTH101;Algèbre linéaire de base;1;1093;295
PHY109;Electrostatique;1;1093;296
PHY119;Lumière et Applications I;1;1093;297
PHY129;Statique et Dynamique I;1;1093;298
ANG100;Anglais : Ecouter et Parler;2;1093;299
FRA100;Fançais : Ecouter et Parler;2;1093;300
GEM200;Dessin Technique II;2;1093;301
INF200;Algorithme et structures de données;2;1093;302
MTH102;Structure algébrique de base;2;1093;303
MTH103;Calcul Différentiel dans IR;2;1093;304
PHY209;Electrocinétique;2;1093;305
PHY219;Lumière et Applications II;2;1093;306
PHY229;Statique et Dynamique II;2;1093;307
ANG101;Anglais : Lire  et Ecrire;3;1093;308
ECO300;Economie Générale;3;1093;309
FRA101;Français: Lire  et Ecrire;3;1093;310
GEL300;Introduction à l'Electronique;3;1093;311
GEM310;Fabrication Mécanique I;3;1093;312
MTH221;Suite et Séries des fonctions;3;1093;313
PHY309;Magnétostatique & Rég. Variables I;3;1093;314
PHY339;Physique des Capteurs;3;1093;315
STA160;Calculs de Probabilités et Statistiques;3;1093;316
ANG201;Anglais de spécialité : approche thématique des textes;4;1093;317
FRA205;Fançais : Ecrits professionnels;4;1093;318
GEL350;Introduction à l'Electrotechnique;4;1093;319
GEM105;Statique Appliquée;4;1093;320
GEM122;Introduction à la Mécanique des fluides;4;1093;321
GEM215;Notion de RDM pour Ingénieur en GE;4;1093;322
INF300;Programmation Orientée Objet;4;1093;323
INF305;Introduction au Système UNIX;4;1093;324
MTH104;Calcul Intégral et applications;4;1093;325
PHY319;Magnétostatique et Régimes variables II;4;1093;326
GEL400;Electronique I;5;1093;327
GEL410;Circuits Electriques;5;1093;328
GEM301;Construction Mécanique pour GE;5;1093;329
MGT400;Electromagnétisme I;5;1093;330
MTH400;Analyse Numérique;5;1093;331
MTH410;Fonct. Spéc. et Equat. aux Dériv. Part.;5;1093;332
MTH420;Analyse tensor. et introd. à la MMC;5;1093;333
PHY329;Introduction à la thermodynamique;5;1093;334
CPT400;Comptabilité;6;1093;335
DRI400;Gestion de la Propriété Industrielle;6;1093;336
GEL402;Mesures Electriques;6;1093;337
GEL404;Appareillages Electriques & Câblage;6;1093;338
GEL450;Electronique II;6;1093;339
GEL452;Systèmes Logiques;6;1093;340
GEL454;Systèmes-Simulations-Signaux;6;1093;341
GEL456;Machines Electriques I;6;1093;342
GEL528;Traitement du Signal;6;1093;343
CHM107;Chimie appliquée;1;1094;344
CHM113;Chimie par la Pratique;1;1094;345
GEM100;Dessin Technique I;1;1094;346
GEM110;Géométrie descriptive;1;1094;347
INF100;Système d'exploitation et introduction à la programmation;1;1094;348
MTH100;Bases mathématiques;1;1094;349
MTH101;Algèbre linéaire de base;1;1094;350
PHY109;Electrostatique;1;1094;351
PHY119;Lumière et application I;1;1094;352
PHY129;Statique et Dynamique I;1;1094;353
ANG100;Anglais : Ecouter et Parler;2;1094;354
FRA100;Français : Ecouter et Parler;2;1094;355
GEM200;Dessin Technique II;2;1094;356
INF200;Algorithme et structures de données;2;1094;357
MTH102;Structure algébrique de base;2;1094;358
MTH103;Calcul Différentiel dans IR;2;1094;359
PHY209;Electrocinétique;2;1094;360
PHY219;Lumière et application II;2;1094;361
PHY229;Statique et Dynamique II;2;1094;362
ANG101;Anglais : Lire  et Ecrire;3;1094;363
ECO300;Economie Générale;3;1094;364
FRA101;Français : Lire  et Ecrire;3;1094;365
GEC110;Matériaux tropicaux;3;1094;366
GEC125;Dessin de Génie Civil;3;1094;367
