code_ue,nom_matiere,semestre,id_parcours,ue_id,id_enseignant
GEM1620,Métallurgie,6,1071,137,131152
GEM1621,Fabrication assistée par ordinateur et Pratique,6,1071,138,353789
GEM1622,Maintenance industrielle,6,1071,139,248723
GEM1623,Projet de conception,6,1071,140,903636
GEM1624,Montage d'usinage,6,1071,141,204317
GEM1625,Transfert Thermique,6,1071,142,681030
GEM1626,Thermodynamique avancée,6,1071,143,358618
GEM1627,Fabrication mécanique 2,6,1071,144,428249
GEM1628,Hydraulique et pneumatique,6,1071,145,774325
CHM1120,Chimie appliquée,1,1072,146,568234
FRA1120,Techniques de communication orales,1,1072,147,876490
INF1120,Algorithmique et Initiation à la programmation,1,1072,148,841695
MTH1120,Bases mathématiques,1,1072,149,709172
MTH1121,Calcul différentiel et Pratique,1,1072,150,575196
MTU1120,Méthode de travail universitaire,1,1072,151,992703
PHY1120,Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen,1,1072,152,881813
PHY1121,Physique pour l'ingénieur : Électricité,1,1072,153,518244
ANG1221,Anglais : compréhension orale et écrite,2,1072,154,686150
FRA1220,Techniques de communication écrites,2,1072,155,439646
GEM1220,Géométrie descriptive et dessin,2,1072,156,400838
INF1220,Structure de données et programmation C,2,1072,157,793117
INF1221,Programmation Python,2,1072,158,232444
MTH1220,Structure algébrique de base,2,1072,159,200972
MTH1221,Algèbre linéaire et Pratique,2,1072,160,924383
PHY1220,Mécanique du solide,2,1072,161,834190
INF1320,Programmation Orientée Objet,3,1072,162,760259
INF1321,Architecture et technologie des ordinateurs et des Système d'information,3,1072,163,274798
MTH1320,Séries et intégrations multiple et généralisée,3,1072,164,936854
MTH1321,Mathématiques pour l’Ingénieur : Probabilités et Statistiques,3,1072,165,625454
MTH1322,Algèbre tensorielle,3,1072,166,274798
PHY1320,Physique pour l'ingénieur : Loi de la thermodynamique,3,1072,167,636876
PHY1321,Physique pour l'ingénieur : Optique,3,1072,168,221365
SEG1320,Economie et comptabilité,3,1072,169,886564
ANG1420,"Anglais de spécialité : Approche thématique des textes, compréhension orale et écrite",4,1072,170,451320
DRT1420,Droit: droit du travail et droit de l'informatique,4,1072,171,538630
INF1428,Architecture et fonctionnement des réseaux Informatiques,4,1072,172,747692
INF1429,Analyse et conception MERISE,4,1072,173,883591
MTH1420,Calcul différentiel dans Rn,4,1072,174,569234
MTH1421,Statistiques inférentielles (décisionnelles),4,1072,175,681030
MTH1422,Analyse numérique et Pratique,4,1072,176,367115
MTH1423,Théorie des graphes,4,1072,177,577818
ANG1520,Anglais,5,1072,178,662148
INF1520,Initiation aux Systèmes d’Information,5,1072,179,627738
INF1521,Base de données,5,1072,180,743679
INF1522,Modélisation-UML,5,1072,181,796163
INF1525,Projet tutoré,5,1072,182,221365
INF1526,Bases de la Sécurité des systèmes informatiques,5,1072,183,419941
INF1527,Généralités sur les stockages de l'information,5,1072,184,975784
INF1528,Programmation web,5,1072,185,757394
INF1529,Compilation,5,1072,186,310304
ANG1620,Anglais,6,1072,187,518244
INF1620,Adminsitration de bases de données,6,1072,188,607932
INF1621,Adminsitration Système Linux,6,1072,189,353789
INF1623,Initiation à l'ingénierie des Systèmes d'Information,6,1072,190,589155
INF1624,Développement d'applications de bureau,6,1072,191,388274
INF1625,Développement d'applications distribuées,6,1072,192,913036
INF1630,Stage,6,1072,193,131152
CHM1120,Chimie appliquée,1,1073,194,131961
FRA1120,Techniques de communication orales,1,1073,195,388274
INF1120,Algorithmique et Initiation à la programmation,1,1073,196,734396
MTH1120,Bases mathématiques,1,1073,197,870499
MTH1121,Calcul différentiel et Pratique,1,1073,198,151560
MTU1120,Méthode de travail universitaire,1,1073,199,186249
PHY1120,Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen,1,1073,200,833881
PHY1121,Physique pour l'ingénieur : Électricité,1,1073,201,800119
ANG1221,Anglais : compréhension orale et écrite,2,1073,202,447789
FRA1220,Techniques de communication écrites,2,1073,203,667681
GEM1220,Géométrie descriptive et dessin,2,1073,204,832556
INF1220,Structure de données et programmation C,2,1073,205,306952
INF1221,Programmation Python,2,1073,206,719471
MTH1220,Structure algébrique de base,2,1073,207,965594
MTH1221,Algèbre linéaire et Pratique,2,1073,208,472161
PHY1220,Mécanique du solide,2,1073,209,448168
INF1320,Programmation Orientée Objet,3,1073,210,276269
INF1321,Architecture et technologie des ordinateurs et des Système d'information,3,1073,211,447789
MTH1320,Séries et intégrations multiple et généralisée,3,1073,212,131152
MTH1321,Mathématiques pour l’Ingénieur : Probabilités et Statistiques,3,1073,213,980659
MTH1322,Algèbre tensorielle,3,1073,214,796163
PHY1320,Physique pour l'ingénieur : Loi de la thermodynamique,3,1073,215,518244
PHY1321,Physique pour l'ingénieur : Optique,3,1073,216,734396
SEG1320,Economie et comptabilité,3,1073,217,279205
ANG1420,"Anglais de spécialité : Approche thématique des textes, compréhension orale et écrite",4,1073,218,399076
DRT1420,Droit: droit du travail et droit de l'informatique,4,1073,219,399076
INF1428,Architecture et fonctionnement des réseaux Informatiques,4,1073,220,153559
INF1429,Analyse et conception MERISE,4,1073,221,399076
MTH1420,Calcul différentiel dans Rn,4,1073,222,192621
MTH1421,Statistiques inférentielles (décisionnelles),4,1073,223,296062
MTH1422,Analyse numérique et Pratique,4,1073,224,969481
MTH1423,Théorie des graphes,4,1073,225,473490
ANG1520,Anglais,5,1073,226,832556
INF1520,Initiation aux Systèmes d’Information,5,1073,227,578572
INF1521,Base de données,5,1073,228,793117
INF1522,Modélisation-UML,5,1073,229,419941
INF1523,Méthodes numériques en python pour l'analyse,5,1073,230,837272
INF1525,Projet tutoré,5,1073,231,153559
MTH1520,Recherche opérationnelle,5,1073,232,987150
MTH1524,Modélisation statistique,5,1073,233,948604
ANG1620,Anglais,6,1073,234,965594
INF1620,Adminsitration de bases de données,6,1073,235,997807
INF1621,Adminsitration Système Linux,6,1073,236,785671
INF1622,Programmation distribuée pour le stockage et le calcul,6,1073,237,779207
INF1630,Stage,6,1073,238,191950
MTH1620,Statistiques exploratoires multidimensionelles,6,1073,239,983175
MTH1621,Data Mining,6,1073,240,735043
CHM1120,Chimie appliquée,1,1074,241,472161
FRA1120,Techniques de communication orales,1,1074,242,914224
INF1120,Algorithmique et Initiation à la programmation,1,1074,243,879867
MTH1120,Bases mathématiques,1,1074,244,320954
MTH1121,Calcul différentiel et Pratique,1,1074,245,774325
MTU1120,Méthode de travail universitaire,1,1074,246,437822
PHY1120,Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen,1,1074,247,126619
PHY1121,Physique pour l'ingénieur : Électricité,1,1074,248,837272
ANG1221,Anglais : compréhension orale et écrite,2,1074,249,903636
FRA1220,Techniques de communication écrites,2,1074,250,507456
GEM1220,Géométrie descriptive et dessin,2,1074,251,938149
INF1220,Structure de données et programmation C,2,1074,252,274798
INF1221,Programmation Python,2,1074,253,652365
MTH1220,Structure algébrique de base,2,1074,254,153559
MTH1221,Algèbre linéaire et Pratique,2,1074,255,881948
PHY1220,Mécanique du solide,2,1074,256,502637
INF1320,Programmation Orientée Objet,3,1074,257,399076
INF1321,Architecture et technologie des ordinateurs et des Système d'information,3,1074,258,619709
MTH1320,Séries et intégrations multiple et généralisée,3,1074,259,310304
